gene_symbol	SRR2056323.3most_areads	SRR2056323.3most_aRPKM	SRR2056323.3most_creads	SRR2056323.3most_cRPKM	SRR2056323.3most_3UTR_RE	SRR2056324.3most_areads	SRR2056324.3most_aRPKM	SRR2056324.3most_creads	SRR2056324.3most_cRPKM	SRR2056324.3most_3UTR_RE	SRR2056325.3most_areads	SRR2056325.3most_aRPKM	SRR2056325.3most_creads	SRR2056325.3most_cRPKM	SRR2056325.3most_3UTR_RE	SRR2056326.3most_areads	SRR2056326.3most_aRPKM	SRR2056326.3most_creads	SRR2056326.3most_cRPKM	SRR2056326.3most_3UTR_RE
FOXRED2	5618	107.758883275126	226	120.089800325791	-0.156306817701748	4635	92.4578031528985	168	92.8387853530799	-0.00593256367882564	7116	91.4163365814488	334	118.866828981315	-0.378822261619851	6237	77.647052652365	291	100.361826526309	-0.370207563741716
FPR1	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
FPR2	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
FPR3	1	0.140126502840926	2	0.107444345521671	0.383140285867461	0	0	1	0.0558696632386021	-Inf	1	0.0938505474204029	3	0.10794222120725	-0.201822214853695	1	0.0909490500853021	2	0.0697367090744158	0.383140285867461
FRA10AC1	343	10.2438945752419	231	83.7662978773328	-3.03160560312424	340	10.5602057961178	176	66.3731599274593	-2.65196201038059	786	15.7220818555054	256	62.1747194153761	-1.98353582562239	781	15.1390944399921	268	63.0768533578091	-2.05883178019679
FRAT1	0	0	357	12.5144590855275	-Inf	0	0	323	11.7752157575718	-Inf	0	0	658	15.4484989272406	-Inf	0	0	710	16.1540007770713	-Inf
FREM1	0	0	8	4.25096638321384	-Inf	7	1.81719327919788	3	1.65783545273357	0.132411054498782	4	0.668739714642126	5	1.77944354762447	-1.41190946172503	3	0.486048644409359	4	1.37954400723448	-1.50501886611651
FRG1	0	0	153	81.2997320789647	-Inf	0	0	169	93.3913971706578	-Inf	0	0	226	80.4308483526261	-Inf	1	1.08854644320846	249	85.8766144503466	-6.30179044931629
FRG2	0	0	12	0.538930047746357	-Inf	0	0	19	0.887415964796575	-Inf	0	0	49	1.47388554262653	-Inf	0	0	37	1.07852635042579	-Inf
FRG2B	0	0	14	0.623533865753565	-Inf	0	0	21	0.972688518740775	-Inf	0	0	54	1.61080250767533	-Inf	0	0	43	1.2430206687592	-Inf
FRG2C	0	0	16	0.757895153935742	-Inf	0	0	8	0.39409562983487	-Inf	0	0	11	0.34897824914577	-Inf	0	0	15	0.461167072144802	-Inf
FRMD1	31	0.427142995694561	1	0.492371106312612	-0.20502697778523	15	0.214944006066869	0	0	Inf	71	0.655218982285755	0	0	Inf	61	0.545530849073918	0	0	Inf
FRMD3	0	0	1	0.251964556751525	-Inf	0	0	0	0	NA	0	0	2	0.3375094803945	-Inf	0	0	2	0.327074987630711	-Inf
FRMD4A	579	11.8197158198917	254	22.719644082285	-0.942744884905094	628	13.3324695189533	247	22.9766783551913	-0.785226218815215	1062	14.5200969041686	428	25.6405952255702	-0.820378671719158	1167	15.4624109452935	390	22.641766018736	-0.550221204164428
FRMD4B	62	1.64237114336655	241	12.2598071959488	-2.90008420104968	77	2.12125474101826	264	13.9666744112758	-2.71899875387014	151	2.67900232426661	469	15.9792343900329	-2.57643054839689	150	2.57898466308026	583	19.249215587201	-2.89992455791121
FRMD5	0	0	385	8.67437173652761	-Inf	0	0	424	9.9349489823485	-Inf	0	0	583	8.79756292315463	-Inf	0	0	648	9.4761121101472	-Inf
FRMD6	596	16.3279206485414	310	22.4523882352269	-0.459527834773829	635	18.0917605514833	331	24.9316675754998	-0.462646575109443	935	17.1558704869747	395	19.1608367968902	-0.159458238251219	1084	19.2748846462558	465	21.8590702765747	-0.181509814603276
FRMD7	0	0	2	0.121973751336533	-Inf	0	0	1	0.0634247654265495	-Inf	0	0	3	0.122538953393231	-Inf	0	0	0	0	NA
FRMD8	806	24.7747830320666	179	22.8186523878037	0.118658830700667	688	21.9930641350802	147	19.4884267353407	0.17443098930269	1306	26.8865155318389	258	22.0279049710206	0.287550505560133	1236	24.6587565416844	252	20.8504477863017	0.242021683841414
FRMPD1	0	0	3	1.1838628806193	-Inf	0	0	2	0.82079108199064	-Inf	0	0	4	1.05719881358866	-Inf	0	0	1	0.256128574872579	-Inf
